,Unnamed: 0,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
110,291,BOS,29,2014-12-31,Home,SAC,W,106,84,44,94,0.468,5,21,0.238,13,15,0.867,9,49,32,9,7,11,23,32,87,0.368,2,15,0.133,18,28,0.643,11,46,12,9,5,16,17
111,301,BOS,30,2015-01-02,Home,DAL,L,101,119,38,89,0.427,12,34,0.353,13,19,0.684,9,38,22,6,2,12,21,45,96,0.469,13,27,0.481,16,17,0.941,16,52,24,8,1,11,21
113,321,BOS,32,2015-01-05,Home,CHO,L,95,104,36,91,0.396,7,18,0.389,16,23,0.696,10,33,22,8,7,6,23,38,78,0.487,6,19,0.316,22,23,0.957,12,48,22,2,10,15,22
117,361,BOS,36,2015-01-12,Home,NOP,W,108,100,37,88,0.42,8,24,0.333,26,31,0.839,17,44,24,8,5,11,23,31,75,0.413,6,15,0.4,32,37,0.865,16,45,20,7,6,18,23
118,371,BOS,37,2015-01-14,Home,ATL,L,91,105,34,83,0.41,11,33,0.333,12,14,0.857,13,40,22,5,2,16,23,36,73,0.493,10,29,0.345,23,27,0.852,6,35,23,13,7,12,12
119,381,BOS,38,2015-01-16,Home,CHI,L,103,119,42,85,0.494,5,16,0.313,14,16,0.875,11,45,29,5,4,13,16,48,89,0.539,13,25,0.52,10,12,0.833,8,36,28,12,6,7,14
126,451,BOS,45,2015-01-30,Home,HOU,L,87,93,32,90,0.356,7,24,0.292,16,23,0.696,14,48,14,8,5,11,23,35,84,0.417,8,30,0.267,15,20,0.75,12,50,22,6,4,16,18
127,461,BOS,46,2015-02-01,Home,MIA,L,75,83,30,81,0.37,4,19,0.211,11,18,0.611,8,40,24,7,3,13,19,32,77,0.416,4,21,0.19,15,21,0.714,10,46,18,7,9,16,18
129,481,BOS,48,2015-02-04,Home,DEN,W,104,100,40,99,0.404,12,28,0.429,12,17,0.706,19,51,27,10,3,13,21,33,80,0.413,4,24,0.167,30,33,0.909,14,48,18,9,6,15,19
130,491,BOS,49,2015-02-06,Home,PHI,W,107,96,39,86,0.453,10,27,0.37,19,25,0.76,11,53,27,8,4,10,24,35,79,0.443,11,25,0.44,15,31,0.484,11,44,22,6,3,17,19
