,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
7514,MEM,75,2015-03-30,Home,SAC,W,-0.6602540046953405,-1.58633437310494,-0.20238600039273574,-0.26211950794610933,-0.05158252531628959,-0.3456004192253236,-0.3707061457372413,-0.11143101710904062,-0.775538858140348,-0.8298207508419012,0.014505413987495061,0.9480265748083618,0.14520644687907375,-0.025852031250038602,-0.25776507078413563,2.2906788952600303,-0.1388855824916388,0.3013693502981422,-1.0409756181268106,-0.5514961896859907,-0.8057304340412721,-1.113611913404345,-1.3561718772212497,-0.37802132258771975,-0.833529070486017,-0.3174270396113307,-1.5224397855254195,0.47662629709048215,-0.3077199677151879,-1.1892019301278212,-1.268885451314651,-0.6642207235903296,-0.4488006649439743,-0.32309845584845426
7614,MEM,76,2015-04-03,Home,OKC,W,-0.4109294438617325,-0.8488917362985029,-0.20238600039273574,-0.6837502770486141,0.2581792794980762,-1.4604039351004863,-0.6516263208665792,-1.7192940950294333,0.3887836472804705,0.6474785595384833,-0.482517456112482,-0.6258862809558161,0.14520644687907375,-1.3810178702931648,-0.25776507078413563,0.756125991331195,-0.1388855824916388,0.5357942046012031,-0.4385525589795174,0.4283598138625818,-0.7687259885395749,-1.3910702925986214,-1.2150235095632587,-1.1816100531170226,-0.16384741679486334,0.5035337286843132,-1.3808422886832754,0.21340917040003737,0.6306987768046821,-0.7901109375812587,-0.24952283979751996,-0.6642207235903296,-0.4488006649439743,0.5983009951148237
7714,MEM,77,2015-04-04,Home,WAS,L,-1.8237686219188443,-0.8488917362985029,-0.9953297566597138,-0.5432066873477792,-0.7439912654895801,-2.2965065720068583,-1.494386846254593,-2.970984972144676,-0.6092070716516595,-0.6955208135345935,0.14119751813062648,-0.3635674716617864,-0.48188656926754936,-0.025852031250038602,-1.9388416193763245,-0.7784269125976405,0.3799580514179004,-1.105179775520223,-0.03693718621465515,-0.8314550478427257,0.5634340495215232,-0.28123677582151557,-0.509281671273304,0.14740207814297812,-1.5032107241771708,-1.6856949867707371,0.3655268390365017,-1.1026764630521864,-0.46412309180183287,0.40716204005842865,0.4300522345472341,-1.8895547918559545,0.3241629073515986,-0.5534483185892737
7814,MEM,78,2015-04-08,Home,NOP,W,0.42015242558362725,-2.3237770099113773,1.1852655730744759,0.4405984405580654,0.9141454543990882,-0.3456004192253236,-1.213466671125255,1.1402598600062022,-0.9418706446290362,-1.2327205627638242,0.9110956894619624,0.9480265748083618,1.2426192251356643,0.7485284482031763,-0.25776507078413563,-0.7784269125976405,-1.4359946672654869,-0.8707549212171622,-2.0450140500389664,-0.6914756187643581,-1.8603571308396412,-0.8361535342100684,-0.6504300389312949,-0.6561866523863248,-0.833529070486017,-0.591080629043212,-0.8899709662971756,0.47662629709048215,-0.6205262158884779,-1.7878384189476648,0.09026469737485707,-0.6642207235903296,-0.4488006649439743,-1.2444979068117321
8214,MEM,82,2015-04-15,Home,IND,W,-0.8264703785844124,-1.58633437310494,-0.5988578785262247,-1.245924635851954,0.23995799686193697,-2.0178056930380674,-2.3371473716426068,-1.3936509400075816,0.5551154337691588,0.3788786849238679,0.4335639123070836,1.4726641933964213,0.6155262089890411,-2.15539834974638,0.7508808583711777,-0.7784269125976405,-0.3983073994464084,-0.6363300669141013,-1.241783304509242,-0.9714344769210932,-0.7502237657887263,-0.28123677582151557,-0.22698493595732214,-0.1719729301443086,-1.0009494839088056,-1.001561013191034,-0.2669419801917423,0.7398434237809269,-1.089735588148413,-1.3887474264011024,-0.24952283979751996,1.3780027235190453,-0.4488006649439743,1.289350583337282
190,MIA,1,2014-10-29,Home,WAS,W,0.1708278647500193,-0.6030775240296905,-0.004150061325991241,-0.5432066873477792,0.3675069753149115,-0.06689954025653293,0.33159429208610347,-0.3861924291587277,0.3887836472804705,-0.024021126998055132,1.0377877936050939,0.4233889562203026,-0.011566807157582034,-0.6066373908399498,0.41466554865273997,-0.7784269125976405,0.1205362344631308,-0.6363300669141013,-0.4385525589795174,-1.3913727641561957,0.5449318267706746,-0.8361535342100684,-0.9327267742472768,-0.34711406372120807,0.003572996627925087,0.22988013925243195,-0.5029378082619825,-0.8394593363617417,-1.089735588148413,-0.3910199450346962,-0.24952283979751996,-1.0726654130122044,0.06650838325307429,-0.09274859310763477
390,MIA,3,2014-11-02,Home,TOR,W,0.1708278647500193,-0.02951102873579503,-0.7970938175929693,-2.0891861740569637,0.7137113454015568,-0.06689954025653293,-0.23024605817257238,0.16333039494064705,1.7194379391899772,1.99047793261156,-0.2583698872438649,0.16107014692627292,-0.1683400611942378,-0.21944715111334234,-0.5939803805025734,0.37248776534898603,0.63937986837267,2.1767681847226292,-0.23774487259708627,-0.8314550478427257,0.32290515376049245,-1.3910702925986214,-1.3561718772212497,-1.0270737587844643,1.175515890587444,2.282282059991542,-1.3808422886832754,-0.31302508298085213,-2.340960580841573,-2.1869294114942273,0.09026469737485707,0.15266865525342044,-0.9641097131410229,1.750050308818921
490,MIA,4,2014-11-04,Home,HOU,L,-1.1589031263625564,0.4621173958018297,-1.5900375738599473,-1.5270118152536238,-0.7622125481257193,0.7692030966498391,0.33159429208610347,0.7128532190400219,-0.11021171218559453,0.5131786222311756,-1.3011433598065607,0.6857077655143322,-1.5792993475241397,-1.3810178702931648,-0.25776507078413563,-1.1620651385798495,0.3799580514179004,0.3013693502981422,-0.6393602453619485,-2.371228767704768,1.1925096230503756,2.2158886369269726,1.6079438435965598,1.1261319422491805,0.6732546503190788,0.640360523400254,0.15785051033469025,-0.31302508298085213,-0.7769293399751229,0.008071047511866205,0.09026469737485707,0.15266865525342044,0.5818174314501229,1.289350583337282
690,MIA,6,2014-11-08,Home,MIN,W,-0.2447130699726606,-0.8488917362985029,0.3923218168074978,-0.9648374564502841,1.1874646939411766,-1.1817030561316957,-1.775307021383931,0.2650938808849758,-0.4428752851629712,-0.8298207508419012,1.1547343512756767,-1.1505238995438754,-0.6386598233042051,0.5549333283398726,0.07845023893430217,-1.1620651385798495,0.1205362344631308,-0.16748035830797955,-0.6393602453619485,0.2883803847842143,-0.898241547795514,-1.3910702925986214,-1.3561718772212497,-1.0270737587844643,0.1709934100507135,0.0930533445364913,0.2050496759487383,1.792711930542706,0.9435050249779721,-1.7878384189476648,0.4300522345472341,-1.0726654130122044,0.5818174314501229,-0.7837981813300932
834,MIA,8,2014-11-12,Home,IND,L,-2.488634117475132,-1.7502105146174816,-1.9865094519934363,-2.3702733534586335,-0.6346635696727447,-0.06689954025653293,-0.7920864084312482,0.9265565395231122,-1.6071977905837898,-0.6955208135345935,-3.113815003700593,-1.1505238995438754,-2.5199388717440745,-0.9938276305665572,1.0870961680896154,-0.011150460633222819,-1.1765728503107171,-0.40190521261104045,-1.643398677274104,-0.6914756187643581,-1.3978015620684263,-0.28123677582151557,0.0553117993586597,-0.42953342069857253,-0.6661086570632286,-1.001561013191034,0.9979956582647446,1.5294948038522613,1.569117521324552,-1.7878384189476648,-0.929097914142274,0.15266865525342044,0.3241629073515986,-0.7837981813300932
1015,MIA,10,2014-11-16,Home,MIL,L,-1.7406604349743082,-0.9308298070547737,-1.7882735129266918,-1.6675554049544588,-0.9079828092148331,0.4905022176810484,-0.0897859706079034,0.8247930535787834,-0.775538858140348,-0.15832106430536283,-1.681219672235955,-1.1505238995438754,-0.6386598233042051,-0.8002325107032535,0.7508808583711777,0.37248776534898603,0.8988016853274396,0.06694449599508133,-0.6393602453619485,-1.531352193234563,0.4154162675147344,-1.113611913404345,-1.0738751419052677,-0.7386060093636887,-0.16384741679486334,0.5035337286843132,-1.3808422886832754,-1.3658935897426312,-0.46412309180183287,-1.1892019301278212,1.1096273088919881,-1.4811101024340794,0.5818174314501229,0.8286508578556432
1217,MIA,12,2014-11-20,Home,LAC,L,-0.9926867524734844,0.6259935373143712,-1.7882735129266918,-2.5108169431594685,-0.2337953516776818,-0.9030021771629049,0.050674116956765554,-1.3020638026576858,1.553106152701289,1.0503783714604062,1.0475333400776423,-1.1505238995438754,-2.206392363670763,-2.3489934696096832,0.7508808583711777,-0.7784269125976405,-0.3983073994464084,-1.105179775520223,0.9671012456975004,-1.1114139059994608,1.9881052013368654,1.1060551201498667,0.7610536376486143,0.7140351573623582,-1.0009494839088056,-0.7279074237591526,-1.0787676287533678,-1.629110716433076,-1.2461387122350578,1.8039805139713971,-0.589310376969897,-1.8895547918559545,-0.19114614084545,0.1376012696331847
1415,MIA,14,2014-11-23,Home,CHO,W,-0.9095785655289484,-0.7669536655422321,-1.1935656957264582,-2.6513605328603034,0.7137113454015568,0.4905022176810484,-0.3707061457372413,1.2114943001672323,-0.11021171218559453,-0.5612208762272859,1.281426455418808,-1.9374803274259644,-1.2657528394508282,-0.8002325107032535,-1.2664109999394488,-0.011150460633222819,0.63937986837267,-0.8707549212171622,-0.23774487259708627,-0.8314550478427257,0.32290515376049245,-0.558695155015792,-0.6504300389312949,-0.1719729301443086,-0.833529070486017,-0.8647342184750934,-0.10646481710397888,-1.3658935897426312,-1.5589449604083478,-0.7901109375812587,0.4300522345472341,-1.4811101024340794,-0.7064551890424986,-0.32309845584845426
1515,MIA,15,2014-11-25,Home,GSW,L,-0.6602540046953405,0.9537458203394544,-1.1935656957264582,0.018967671455560563,-1.3270723098460342,0.21180133871225773,-0.3707061457372413,0.7739113106066191,0.5551154337691588,0.5131786222311756,0.14119751813062648,0.4233889562203026,-0.6386598233042051,-1.3810178702931648,-0.25776507078413563,-0.3947886866154317,-1.1765728503107171,0.5357942046012031,0.9671012456975004,-1.3913727641561957,2.2656385425995924,1.1060551201498667,0.3376085346746415,1.1776440403600332,-0.33126783021765177,0.0930533445364913,-1.0315684631393198,-1.3658935897426312,0.3178925286313921,-0.191474448761415,-0.589310376969897,1.7864474129409202,-0.7064551890424986,0.8286508578556432
1815,MIA,18,2014-12-03,Home,ATL,L,-0.2447130699726606,0.7898696788269128,-0.5988578785262247,-2.932447712261973,1.8616521514783257,-0.9030021771629049,-1.3539267586899242,0.16333039494064705,1.0541107932352238,1.184678308767714,-0.13167778310073347,-1.6751615181319346,-2.206392363670763,0.36133820847656883,0.7508808583711777,-0.011150460633222819,1.1582235022822092,1.0046439132073248,0.36467818655020706,-1.531352193234563,1.673567414572439,0.8285967409555902,-0.08583656829933123,1.3424827543147617,0.5058342368962904,0.0930533445364913,1.0263151576331735,-1.3658935897426312,-2.028154332668283,0.6067075363317098,0.4300522345472341,-1.4811101024340794,0.5818174314501229,0.8286508578556432
2415,MIA,24,2014-12-14,Home,CHI,L,-2.488634117475132,-0.7669536655422321,-2.1847453910601806,-0.6837502770486141,-2.0194810500193245,-1.4604039351004863,-0.5111662333019102,-1.8007048837848965,-0.4428752851629712,-0.6955208135345935,0.6772025741207968,0.6857077655143322,-0.6386598233042051,-2.15539834974638,1.759526787526491,-0.011150460633222819,-0.1388855824916388,0.5357942046012031,-1.0409756181268106,-1.9512904804696656,0.26739848550794665,-0.003778396627239144,-1.0738751419052677,1.5485311467581728,0.1709934100507135,-0.18060024489539,0.9035973270366485,-0.5762422096712969,0.16148940454474708,-0.191474448761415,-1.268885451314651,1.3780027235190453,1.3547810037456958,-0.5534483185892737
2615,MIA,26,2014-12-17,Home,UTA,L,-1.4913358741407003,0.21630318353301733,-2.3829813301269254,-2.0891861740569637,-1.3635148751183126,-1.4604039351004863,-1.213466671125255,-1.2613584082799545,1.8857697256786656,2.2590778072261757,-0.3753164449144477,-0.6258862809558161,-2.049619109634107,-2.542588589472987,0.7508808583711777,-1.9293415905442672,-0.657729216401178,1.0046439132073248,-0.6393602453619485,-2.6511876258615032,1.4700429643131045,1.3835134993441431,-0.08583656829933123,2.166676324088406,0.6732546503190788,0.22988013925243195,1.0735143232472215,-1.1026764630521864,-0.7769293399751229,0.20761654378514743,-1.268885451314651,0.15266865525342044,1.0971264796471716,1.289350583337282
